evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,2024-11,2025-05,1681.206713360999,,,False,753,0,2024-11
EVALUATION_ALL,LGBM_TEMPORAL,6,2024-12,2025-06,1831.3613284562778,9487.944804163177,5.180815307572819,True,829,74,2024-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2024-12,2025-06,1831.3613284562778,,,False,829,0,2024-12
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2024-12,2025-06,1633.5535210427665,7989.188349660769,4.890680499137201,True,829,74,2024-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,2024-12,2025-06,1633.5535210427665,,,False,829,0,2024-12
EVALUATION_ALL,LGBM_TEMPORAL,6,2025-01,2025-07,1738.783099321222,4102.915333968773,2.359647580868741,False,883,53,2025-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2025-01,2025-07,1738.783099321222,,,False,883,0,2025-01
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2025-01,2025-07,1596.1961119127625,4377.109854913993,2.7422130791114325,False,883,53,2025-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,2025-01,2025-07,1596.1961119127625,,,False,883,0,2025-01
EVALUATION_ALL,LGBM_TEMPORAL,6,2025-02,2025-08,1700.0497326492762,889.7771408220892,0.5233830068226905,False,933,50,2025-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2025-02,2025-08,1700.0497326492762,830.7845372776368,0.48868249047219453,False,933,30,2025-02
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2025-02,2025-08,1549.9344190221345,1029.2835915948322,0.6640820275765055,False,933,50,2025-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,2025-02,2025-08,1549.9344190221345,934.2821927556786,0.6027882091586328,False,933,30,2025-02
EVALUATION_ALL,LGBM_TEMPORAL,6,2025-03,2025-09,1616.7697202588658,1384.4820486307678,0.856326062569439,False,1009,59,2025-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2025-03,2025-09,1616.7697202588658,1055.6011813960708,0.6529075651089354,False,1009,37,2025-03
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2025-03,2025-09,1457.0667873898276,1579.2554084153746,1.0838593138509693,False,1009,59,2025-03
